Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0075173	1050	355	245	412	184	228	543	532	345	211	253	283	360.93	473	249	0.524	-0.933	-3.275	0.00105687284492679	0.0249899288816561	0.0388	0.101	0.0552	0.0552	TRUE	0.6317
FBtr0302693	237	553	182	102	88	63	122	828	256	52	121	78	243.03	402	84	0.208	-2.267	-3.274	0.00106097021726836	0.0250032552330766	0.4879	0.1071	0.338	0.338	TRUE	0.6805
FBtr0302322	194	183	185	35	55	51	100	274	261	18	76	63	131.93	212	52	0.245	-2.032	-3.268	0.00108284432121377	0.0254148362976502	0.3534	0.1231	0.2658	0.2658	TRUE	3.4502
FBtr0310034	336	87	78	156	29	32	174	130	110	80	40	40	95.51	138	53	0.391	-1.356	-3.258	0.00112277244782715	0.0262227908219237	0.0993	0.1364	0.1114	0.1114	TRUE	1.0593
FBtr0088337	68	34	63	12	16	13	35	51	89	6	22	16	36.5	58	15	0.245	-2.028	-3.233	0.0012234869378778	0.0282290727143765	0.2517	0.2142	0.2382	0.2382	TRUE	0.3985
FBtr0079042	482	113	150	259	69	63	249	169	211	132	95	78	155.82	210	102	0.488	-1.035	-3.193	0.00140632130639658	0.0320594156187871	0.0481	0.1177	0.0681	0.0681	TRUE	0.2994
FBtr0343268	92	41	65	50	19	24	48	61	92	26	26	30	46.99	67	27	0.41	-1.288	-3.18	0.00147486130081604	0.0331461163572547	0.0528	0.1861	0.0913	0.0913	TRUE	0.2918
FBtr0113220	476	217	255	330	132	152	246	325	359	169	181	189	244.78	310	180	0.581	-0.784	-3.173	0.00150655394371522	0.0337787118344995	0.0191	0.107	0.0393	0.0393	TRUE	0.4069
FBtr0307027	134	48	56	73	31	28	69	72	79	37	43	35	55.77	73	38	0.521	-0.94	-3.156	0.00159700896240526	0.035503650978532	0	0.1707	0.0435	0.0435	TRUE	0.054
FBtr0082686	511	165	191	341	113	144	264	247	269	174	155	179	214.73	260	169	0.652	-0.616	-3.149	0.00163943598012584	0.0363306638479515	0	0.1096	0.0225	0.0225	TRUE	0.0491
FBtr0113425	107	48	27	36	21	14	55	72	38	18	29	17	38.3	55	21	0.385	-1.376	-3.135	0.00172076618702083	0.0379564374910219	0.05	0.2083	0.1052	0.1052	TRUE	0.0939
FBtr0071813	25751	8015	8489	18219	6316	7514	13307	12003	11955	9312	8682	9320	10763.1	12422	9105	0.733	-0.448	-3.126	0.00177364489224703	0.0390324761621755	0.0026	0.0886	0.0147	0.0147	TRUE	0.0477
FBtr0079664	8918	3346	3313	6509	2520	2975	4608	5011	4666	3327	3464	3690	4127.62	4762	3494	0.734	-0.447	-3.12	0.00180712031417569	0.0394955263160095	0.0021	0.0893	0.0145	0.0145	TRUE	0.0294
FBtr0074301	5827	2301	2654	3080	1612	1853	3011	3446	3738	1574	2216	2298	2713.84	3398	2029	0.597	-0.744	-3.106	0.00189501944672555	0.0409470301765255	0.0243	0.0899	0.041	0.041	TRUE	0.4726
FBtr0071993	66	19	34	26	4	13	34	28	48	13	5	16	24.23	37	11	0.324	-1.627	-3.088	0.00201781695798954	0.0434035616087637	0.0424	0.2781	0.1437	0.1437	TRUE	0.451
FBtr0070207	363	101	114	185	61	91	188	151	161	95	84	113	131.78	167	97	0.58	-0.786	-3.086	0.00203031076738461	0.0435739443747928	0.0088	0.1231	0.0382	0.0382	TRUE	0.1716
FBtr0079667	2811	468	456	890	291	305	1453	701	642	455	400	378	671.47	932	411	0.441	-1.182	-3.084	0.00203973342866518	0.0436349343689091	0.1082	0.0951	0.104	0.104	TRUE	2.8956
FBtr0071346	245	54	40	64	12	34	127	81	56	33	16	42	59.2	88	30	0.345	-1.533	-3.077	0.00209114986979281	0.0445784499088493	0.1503	0.1659	0.156	0.156	TRUE	0.2191
FBtr0086516	3106	1016	979	1955	796	888	1605	1521	1379	999	1094	1101	1283.35	1502	1065	0.708	-0.498	-3.06	0.00221585603378194	0.0467788871974299	0.0039	0.0918	0.0182	0.0182	TRUE	0.0613
FBtr0089409	179	72	74	117	44	35	92	108	104	60	60	43	78.04	101	54	0.544	-0.879	-3.059	0.00221891667680117	0.0467788871974299	0	0.1472	0.045	0.045	TRUE	0.2299
FBtr0300976	107	8	19	17	4	4	55	12	27	9	5	5	18.86	31	6	0.206	-2.281	-3.059	0.00221725670886153	0.0467788871974299	0.2946	0.3321	0.3079	0.3079	TRUE	0.182
FBtr0088457	519	126	123	222	83	100	268	189	173	113	114	124	163.62	210	117	0.553	-0.854	-3.048	0.00230468987537154	0.0484798892327051	0.0273	0.1163	0.0496	0.0496	TRUE	0.7046
FBtr0303097	547	134	164	199	91	129	283	201	231	102	125	160	183.52	238	129	0.536	-0.9	-3.044	0.00233582064786554	0.0487046716707017	0.0357	0.1133	0.0567	0.0567	TRUE	0.3689
FBtr0072436	993	333	352	636	263	299	513	499	496	325	362	371	427.5	503	353	0.699	-0.517	-3.036	0.00239506909401302	0.0497224692741831	0	0.099	0.0183	0.0183	TRUE	0.0592
