Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0344560	129	81	99	452	394	534	67	121	139	231	542	662	293.73	109	478	4.185	2.065	9.147	5.84569595391087e-20	1.42429591958126e-17	0.0159	0.0476	0.0307	0.0307	TRUE	NA
FBtr0075699	733	89	205	3655	1245	1463	379	133	289	1868	1711	1815	1032.49	267	1798	6.976	2.802	9.015	1.96972115077213e-19	4.55308619851558e-17	0.1153	0.0318	0.067	0.067	TRUE	NA
FBtr0077236	353	100	83	1070	360	407	182	150	117	547	495	505	332.61	150	516	3.455	1.789	8.562	1.10659371436145e-17	2.03590659897315e-15	0.0062	0.045	0.0266	0.0266	TRUE	NA
FBtr0347200	644	135	153	1700	428	555	333	202	215	869	588	688	482.67	250	715	2.885	1.529	8.455	2.7857009653282e-17	4.82944119277572e-15	0.0062	0.0389	0.0204	0.0204	TRUE	NA
FBtr0082452	11104	3101	3028	22013	6461	7663	5738	4644	4264	11251	8881	9505	7380.59	4882	9879	2.029	1.021	8.302	1.02794518549019e-16	1.62577646442001e-14	0.002	0.0264	0.0107	0.0107	TRUE	NA
FBtr0077831	71	19	27	331	152	154	37	28	38	169	209	191	112.05	34	190	5.411	2.436	8.208	2.25713113942584e-16	3.44881986812271e-14	0.0062	0.0833	0.0454	0.0454	TRUE	NA
FBtr0333073	435	138	126	1256	447	416	225	207	177	642	614	516	396.88	203	591	2.911	1.542	8.182	2.793286552159e-16	4.1969130446189e-14	0.005	0.0418	0.0219	0.0219	TRUE	NA
FBtr0113386	19	6	5	229	84	71	10	9	7	117	115	88	57.74	9	107	12.355	3.627	8.096	5.67276917384045e-16	7.99062720346432e-14	0.0116	0.1376	0.0789	0.0789	TRUE	NA
FBtr0300017	19401	7626	6844	40618	23429	24499	10025	11420	9638	20760	32206	30388	19073.01	10361	27785	2.635	1.398	7.913	2.50382596124798e-15	3.4199986425228e-13	0.0196	0.0259	0.0224	0.0224	TRUE	NA
FBtr0342607	29	16	15	265	92	116	15	24	21	135	126	144	77.64	20	135	7.022	2.812	7.865	3.68662944615519e-15	4.88749477310133e-13	0	0.1088	0.0611	0.0611	TRUE	NA
